OverallQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice
6,1055,1055,1845,2,8,1,2,462,169044
8,559,1080,1752,2,8,0,2,492,169045
4,672,672,672,1,4,0,1,234,169046
4,648,960,960,0,3,0,1,364,169047
5,925,999,999,1,6,0,1,300,169048
5,894,894,894,1,5,0,1,384,169049
6,0,1318,1902,2,8,0,2,539,169050
8,1300,1314,1314,2,6,0,2,552,169051
4,0,672,912,1,3,0,0,0,169052
6,672,672,1218,1,7,0,0,0,169053
5,912,912,912,1,5,0,1,288,169054
5,952,1211,1211,1,5,1,1,322,169055
6,1040,1168,1846,2,7,1,1,315,169056
5,2136,2136,2136,2,7,0,2,528,169057
7,788,788,1490,2,8,1,2,388,169058
6,588,1138,1138,1,6,0,1,264,169059
6,894,894,1933,2,9,1,3,668,169060
5,912,912,912,1,5,0,2,576,169061
9,1702,1702,1702,1,7,1,3,1052,169062
5,1075,1507,1507,2,7,0,1,404,169063
5,1361,1361,2620,2,12,1,2,600,169064
5,1106,1190,1190,1,6,0,2,540,169065
4,0,1224,1224,2,6,0,2,462,169066
5,1188,1188,1188,1,6,0,2,531,169067
5,940,1024,1964,1,7,0,0,0,169068
5,747,892,1784,1,9,0,1,180,169069
7,764,764,1626,2,6,0,2,474,169070
7,847,847,1948,2,8,1,2,434,169071
6,1141,1141,1141,1,6,0,2,484,169072
8,1476,1484,1484,2,6,1,2,472,169073
7,884,884,1768,2,8,0,2,543,169074
7,1689,1689,1689,2,7,0,3,954,169075
7,1053,1173,1173,2,6,2,2,528,169076
10,2076,2076,2076,2,7,1,3,850,169077
8,792,792,1517,1,7,2,2,400,169078
6,585,1140,1868,3,7,1,2,477,169079
7,756,756,1553,2,6,0,2,615,169080
6,1012,1034,1034,1,6,0,3,888,169081
6,735,1134,2058,1,8,1,2,396,169082
5,876,988,988,1,6,0,1,276,169083
7,2110,2110,2110,2,8,2,2,522,169084
7,1405,1405,1405,2,6,1,2,478,169085
5,864,874,874,1,5,0,1,288,169086
7,1192,1516,2167,2,9,2,2,518,169087
7,746,760,1656,2,7,1,2,397,169088
6,884,959,1367,1,6,1,1,560,169089
8,1986,1987,1987,2,7,1,2,691,169090
5,864,864,864,1,4,0,0,0,169091
7,856,1166,1166,2,5,0,2,400,169092
6,1054,1054,1054,1,6,0,2,460,169093
6,841,892,1675,2,7,1,2,502,169094
5,1050,1050,1050,1,5,0,1,338,169095
4,1104,1104,1788,1,8,2,1,304,169096
6,764,1060,1824,1,8,1,2,520,169097
6,1405,1337,1337,2,5,0,2,511,169098
7,691,713,1452,2,6,0,2,506,169099
7,925,964,1889,1,9,1,1,308,169100
9,2002,2018,2018,2,10,1,3,746,169101
8,728,1968,3447,3,11,2,3,1014,169102
5,874,874,1524,1,7,0,1,315,169103
7,1332,1332,1524,0,4,1,2,586,169104
6,1489,1489,1489,2,7,1,2,462,169105
5,935,935,935,1,5,0,1,288,169106
6,1019,1357,1357,1,5,1,1,312,169107
5,661,661,1250,2,8,1,2,552,169108
5,928,928,1920,2,10,0,2,400,169109
6,723,735,1395,1,6,1,2,497,169110
6,1680,1724,1724,1,7,1,2,480,169111
8,1128,1128,2031,2,7,1,2,577,169112
4,698,698,1128,1,6,0,2,528,169113
7,1573,1573,1573,2,6,0,2,544,169114
7,1309,1339,1339,2,6,1,2,484,169115
5,1040,1040,1040,2,5,0,2,484,169116
6,912,912,1824,2,8,0,0,0,169117
6,804,1699,2447,2,10,1,1,336,169118
6,780,825,1412,1,6,1,1,280,169119
6,1328,1328,1328,1,6,2,2,528,169120
5,1624,1582,1582,2,7,0,2,390,169121
8,1501,1659,1659,2,5,1,2,499,169122
8,1085,1120,1970,2,8,1,3,753,169123
5,1152,1152,1152,1,6,1,2,484,169124
5,630,630,1302,2,6,0,1,264,169125
5,994,1378,2372,2,11,0,1,432,169126
7,832,832,1664,2,8,1,2,528,169127
5,864,864,864,1,5,0,2,572,169128
5,1052,1052,1052,1,5,0,1,288,169129
5,1120,1128,1128,2,6,0,2,525,169130
6,547,1072,1072,2,5,0,2,525,169131
10,6110,4692,5642,2,12,3,2,1418,169132
5,1246,1246,1246,1,6,0,1,305,169133
7,978,1005,1983,2,9,1,2,490,169134
6,771,753,1494,1,7,2,1,213,169135
8,1165,1203,2526,2,8,1,3,844,169136
7,1616,1616,1616,2,7,0,3,834,169137
7,976,976,1708,2,7,0,2,380,169138
9,1652,1652,1652,2,6,2,2,840,169139
7,1368,1368,1368,2,6,1,2,474,169140
5,990,990,990,1,5,0,2,480,169141
5,924,1122,1122,1,6,0,2,528,169142
6,1278,1294,1294,2,6,0,2,496,169143
7,1902,1902,1902,2,7,2,2,567,169144
7,1274,1274,1274,2,6,0,2,508,169145
8,1453,1453,2810,2,9,1,2,750,169146
9,1393,1422,2599,2,10,1,3,779,169147
4,948,948,948,1,5,1,1,280,169148
6,952,1092,2112,2,9,2,2,576,169149
8,1622,1630,1630,2,8,1,3,860,169150
7,1352,1352,1352,2,5,1,2,466,169151
8,1753,1787,1787,2,7,1,3,748,169152
4,864,948,948,1,5,0,1,248,169153
6,1478,1478,1478,1,6,2,2,442,169154
3,0,720,720,1,4,0,1,287,169155
7,750,1061,1923,2,8,1,2,564,169156
4,420,708,708,1,5,0,0,0,169157
8,1795,1795,1795,2,7,1,3,895,169158
4,796,796,796,1,5,0,0,0,169159
3,544,774,774,1,6,0,0,0,169160
5,816,816,816,1,5,1,1,264,169161
6,1510,1584,2792,2,8,2,2,520,169162
7,935,955,1632,2,8,1,2,462,169163
8,1588,1588,1588,2,7,1,3,825,169164
5,911,954,954,1,6,0,2,576,169165
4,816,816,816,1,3,1,1,288,169166
5,803,803,1360,1,6,0,1,297,169167
5,765,765,1365,1,7,0,2,440,169168
6,1350,1334,1334,2,6,1,2,630,169169
5,1656,1656,1656,2,8,0,2,506,169170
4,693,693,693,1,4,0,0,0,169171
7,916,920,1861,2,8,0,2,492,169172
5,864,864,864,1,5,0,1,288,169173
4,858,872,872,1,5,0,4,480,169174
6,1114,1114,1114,1,6,0,2,576,169175
8,1284,1284,2169,2,7,1,2,647,169176
6,896,1172,1913,1,9,1,2,342,169177
7,728,728,1456,2,8,1,2,440,169178
4,960,960,960,1,5,0,1,308,169179
7,1568,2156,2156,2,9,1,2,508,169180
8,1732,1776,1776,2,7,1,3,712,169181
7,1482,1494,1494,2,5,1,2,514,169182
8,684,938,2358,2,8,0,0,0,169183
5,1248,1338,2634,2,12,0,4,968,169184
6,858,858,1716,1,8,1,2,490,169185
6,698,786,1176,1,4,0,2,624,169186
8,2033,2053,3238,2,9,1,3,666,169187
7,992,992,1865,2,7,1,3,839,169188
7,570,1222,1920,3,8,1,2,487,169189
5,864,892,892,1,5,0,1,264,169190
5,1078,1078,1078,1,6,1,2,500,169191
6,756,769,1573,2,5,0,2,440,169192
9,1980,1980,1980,2,8,1,3,770,169193
5,612,990,2601,3,8,0,2,621,169194
7,1530,1530,1530,2,7,1,2,430,169195
4,715,1281,1738,2,7,1,1,368,169196
6,616,616,1412,2,6,1,2,432,169197
7,600,520,1200,2,4,0,2,480,169198
7,814,814,1674,2,7,0,2,663,169199
7,873,882,1790,2,7,0,2,588,169200
5,757,925,1475,2,6,1,1,336,169201
6,848,848,848,1,4,0,2,420,169202
8,1657,1668,1668,2,8,1,2,502,169203
4,840,840,1374,1,6,0,1,338,169204
6,992,1661,1661,1,8,1,1,377,169205
7,1108,1108,2097,2,8,1,2,583,169206
10,2633,2633,2633,2,8,2,3,804,169207
7,1026,1026,1958,2,9,1,3,936,169208
8,1571,1571,1571,2,7,1,3,722,169209
6,768,790,790,1,4,0,1,160,169210
5,984,984,1604,2,6,0,2,660,169211
6,483,483,987,1,5,0,1,264,169212
5,384,754,1394,2,7,0,2,400,169213
3,864,864,864,1,5,0,1,200,169214
6,1205,2117,2117,2,7,2,2,550,169215
7,596,998,1762,1,8,0,2,576,169216
5,816,1416,1416,2,7,0,2,576,169217
6,560,698,1258,1,6,0,1,280,169218
4,796,796,1154,1,7,0,1,240,169219
7,1392,1392,2784,3,12,2,2,564,169220
6,714,1664,2526,2,10,1,1,216,169221
9,1746,1746,1746,2,7,2,3,758,169222
6,735,869,1218,1,6,1,2,440,169223
7,1525,1525,1525,2,6,0,2,541,169224
5,1584,1584,1584,2,8,0,3,792,169225
5,864,900,900,1,6,1,1,288,169226
6,482,1221,1912,2,7,1,2,672,169227
7,1356,1500,1500,2,6,1,3,648,169228
8,1094,1133,2482,2,9,1,3,642,169229
5,747,1687,1687,1,7,2,2,572,169230
5,939,939,1513,1,8,0,1,180,169231
5,1208,1136,1904,1,7,0,1,240,169232
6,976,1160,1608,2,7,1,1,216,169233
6,862,950,1158,1,5,1,1,208,169234
6,839,864,1593,2,8,1,2,398,169235
7,1286,1294,1294,2,6,1,2,662,169236
8,1485,1464,1464,2,6,0,3,754,169237
3,672,694,1214,1,6,0,3,936,169238
8,1594,1646,1646,2,5,1,2,482,169239
5,768,768,768,1,5,0,2,396,169240
5,833,833,833,1,5,0,0,0,169241
4,622,741,1363,1,6,0,2,528,169242
7,791,1236,2093,2,7,1,2,542,169243
7,944,944,1840,2,6,0,2,622,169244
6,856,1112,1668,1,6,0,1,271,169245
4,0,1040,1040,2,6,0,2,420,169246
8,1844,1844,1844,2,7,1,2,620,169247
6,833,1053,1848,1,8,1,2,370,169248
7,1386,1569,1569,2,7,1,3,660,169249
4,777,1246,2290,2,11,0,2,560,169250
8,1284,1310,2450,2,7,1,3,1069,169251
5,1144,1144,1144,1,6,0,1,336,169252
6,1844,1844,1844,2,7,1,2,540,169253
6,708,708,1416,2,7,1,2,776,169254
6,1069,1069,1069,2,4,1,2,440,169255
6,848,848,848,1,3,0,2,420,169256
6,697,1575,2201,2,8,1,2,432,169257
5,1024,1344,1344,1,6,1,1,484,169258
6,1252,1252,1252,1,7,0,2,528,169259
7,1223,1223,2127,2,5,2,2,525,169260
5,913,1048,1558,1,6,1,1,288,169261
5,788,804,804,1,4,2,1,240,169262
6,1440,1440,1440,2,7,1,2,467,169263
5,732,734,1838,2,7,1,2,372,169264
6,958,958,958,2,5,0,2,440,169265
4,656,968,968,2,5,0,1,216,169266
6,936,962,1792,2,8,1,2,451,169267
5,1126,1126,1126,2,5,1,2,484,169268
6,1319,1537,1537,1,7,1,2,462,169269
4,864,864,864,1,5,0,2,528,169270
8,1932,1932,1932,2,7,1,3,774,169271
6,912,1236,1236,1,6,0,2,923,169272
7,539,1040,1725,2,6,1,2,550,169273
6,588,1423,2555,2,11,1,2,672,169274
6,848,848,848,1,3,1,2,420,169275
10,1017,1026,2007,2,10,1,3,812,169276
6,952,952,952,1,4,1,1,192,169277
7,1422,1422,1422,2,7,0,2,626,169278
6,814,913,913,1,6,0,1,240,169279
5,1188,1188,1188,1,6,0,1,312,169280
8,1220,1220,2090,2,8,1,2,556,169281
4,560,796,1346,1,6,0,1,384,169282
5,630,630,630,1,3,0,0,0,169283
5,896,896,1792,2,8,0,0,0,169284
8,1573,1578,1578,2,7,1,3,840,169285
5,547,1072,1072,1,5,0,2,525,169286
5,1140,1140,1140,1,6,0,0,0,169287
7,1221,1221,1221,2,6,0,2,400,169288
6,953,953,1647,2,7,1,2,460,169289
6,1542,2073,2073,2,7,2,2,500,169290
7,1152,1188,2340,2,9,2,1,252,169291
5,1078,1078,1078,1,5,0,1,240,169292
5,1256,1256,1256,1,6,0,1,276,169293
